Title,Price,Availability,Rating,Price_Category
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,In stock,4,Medium
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,In stock,3,Low
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,In stock,5,Medium
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,In stock,1,Medium
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,In stock,1,High
The Death of Humanity: and the Case for Life,58.11,In stock,4,High
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,In stock,3,High
The Art Forger,40.76,In stock,3,High
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,In stock,1,Low
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,In stock,5,Medium
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,In stock,4,High
Soul Reader,39.58,In stock,2,Medium
Security,39.25,In stock,2,Medium
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,In stock,3,Medium
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,In stock,2,High
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,In stock,2,Low
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,In stock,3,High
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,In stock,5,Low
Princess Between Worlds (Wide-Awake Princess #5),13.34,In stock,5,Low
"Pop Gun War, Volume 1: Gift",18.97,In stock,1,Low
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,In stock,2,Medium
Patience,10.16,In stock,3,Low
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,In stock,4,Low
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,In stock,1,High
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,In stock,1,High
On a Midnight Clear,14.07,In stock,3,Low
Obsidian (Lux #1),14.86,In stock,2,Low
My Paris Kitchen: Recipes and Stories,33.37,In stock,2,Medium
Masks and Shadows,56.4,In stock,2,High
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,In stock,4,Low
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,In stock,2,High
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,In stock,3,High
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,In stock,2,Low
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,In stock,1,High
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,In stock,2,High
Join,35.67,In stock,5,Medium
In the Country We Love: My Family Divided,22.0,In stock,4,Medium
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,In stock,5,High
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,In stock,2,Medium
I am a Hero Omnibus Volume 1,54.63,In stock,3,High
How to Be Miserable: 40 Strategies You Already Use,46.03,In stock,1,High
Her Backup Boyfriend (The Sorensen Family #1),33.97,In stock,1,Medium
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,In stock,2,Medium
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,In stock,3,Medium
First and First (Five Boroughs #3),15.97,In stock,4,Low
Fifty Shades Darker (Fifty Shades #2),21.96,In stock,1,Medium
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,In stock,2,High
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,In stock,2,Medium
Danganronpa Volume 1,51.99,In stock,4,High
Crown of Midnight (Throne of Glass #2),43.29,In stock,3,High
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,In stock,4,Medium
Camp Midnight,17.08,In stock,4,Low
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,In stock,5,Medium
Burning,28.81,In stock,3,Medium
Bossypants,49.46,In stock,2,High
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,In stock,2,Medium
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,In stock,2,Medium
Algorithms to Live By: The Computer Science of Human Decisions,30.81,In stock,1,Medium
A World of Flavor: Your Gluten Free Passport,42.95,In stock,1,High
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,In stock,5,High
A Murder in Time,16.64,In stock,1,Low
A Flight of Arrows (The Pathfinders #2),55.53,In stock,5,High
A Fierce and Subtle Poison,28.13,In stock,4,Medium
A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,In stock,1,High
(Un)Qualified: How God Uses Broken People to Do Big Things,54.0,In stock,5,High
You Are What You Love: The Spiritual Power of Habit,21.87,In stock,4,Medium
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,In stock,4,High
Tuesday Nights in 1980,21.04,In stock,2,Medium
Tracing Numbers on a Train,41.6,In stock,3,High
Throne of Glass (Throne of Glass #1),35.07,In stock,3,Medium
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,In stock,1,High
Thirteen Reasons Why,52.72,In stock,1,High
The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,58.08,In stock,4,High
The Wedding Dress,24.12,In stock,1,Medium
The Vacationers,42.15,In stock,4,High
The Third Wave: An Entrepreneurâs Vision of the Future,12.61,In stock,5,Low
The Stranger,17.44,In stock,4,Low
The Shadow Hero (The Shadow Hero),33.14,In stock,1,Medium
The Secret (The Secret #1),27.37,In stock,4,Medium
The Regional Office Is Under Attack!,51.36,In stock,5,High
The Psychopath Test: A Journey Through the Madness Industry,36.0,In stock,2,Medium
The Project,10.65,In stock,1,Low
The Power of Now: A Guide to Spiritual Enlightenment,43.54,In stock,2,High
The Omnivore's Dilemma: A Natural History of Four Meals,38.21,In stock,2,Medium
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,In stock,5,Medium
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,In stock,4,High
The Mistake (Off-Campus #2),43.29,In stock,3,High
The Matchmaker's Playbook (Wingmen Inc. #1),55.85,In stock,1,High
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.6,In stock,2,Medium
The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,In stock,1,Low
The Kite Runner,41.82,In stock,4,High
The House by the Lake,36.95,In stock,1,Medium
The Glittering Court (The Glittering Court #1),44.28,In stock,1,High
The Girl on the Train,55.02,In stock,2,High
The Genius of Birds,17.24,In stock,1,Low
The Emerald Mystery,23.15,In stock,2,Medium
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,In stock,1,High
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.0,In stock,3,Medium
The Artist's Way: A Spiritual Path to Higher Creativity,38.49,In stock,5,Medium
The Art of War,33.34,In stock,5,Medium
The Argonauts,10.93,In stock,2,Low
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,In stock,3,Medium
Suddenly in Love (Lake Haven #1),55.99,In stock,2,High
Something More Than This,16.24,In stock,4,Low
Soft Apocalypse,26.12,In stock,2,Medium
So You've Been Publicly Shamed,12.23,In stock,2,Low
Shoe Dog: A Memoir by the Creator of NIKE,23.99,In stock,2,Medium
"Shobu Samurai, Project Aryoku (#3)",29.06,In stock,3,Medium
Secrets and Lace (Fatal Hearts #1),20.27,In stock,1,Medium
Scarlett Epstein Hates It Here,43.55,In stock,5,High
Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,In stock,1,Medium
Redeeming Love,20.47,In stock,5,Medium
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,In stock,1,High
Poems That Make Grown Women Cry,14.19,In stock,4,Low
"Nightingale, Sing",38.28,In stock,1,Medium
Night Sky with Exit Wounds,41.05,In stock,1,High
Mrs. Houdini,30.25,In stock,5,Medium
Modern Romance,28.26,In stock,5,Medium
Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),10.76,In stock,1,Low
Louisa: The Extraordinary Life of Mrs. Adams,16.85,In stock,2,Low
Little Red,13.47,In stock,3,Low
Library of Souls (Miss Peregrineâs Peculiar Children #3),48.56,In stock,5,High
Large Print Heart of the Pride,19.15,In stock,2,Low
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,In stock,4,High
Hollow City (Miss Peregrineâs Peculiar Children #2),42.98,In stock,1,High
Grumbles,22.16,In stock,2,Medium
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,In stock,4,High
Frostbite (Vampire Academy #2),29.99,In stock,5,Medium
Follow You Home,21.36,In stock,1,Medium
First Steps for New Christians (Print Edition),29.0,In stock,1,Medium
Finders Keepers (Bill Hodges Trilogy #2),53.53,In stock,5,High
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,In stock,4,High
Eureka Trivia 6.0,54.59,In stock,4,High
Drive: The Surprising Truth About What Motivates Us,34.95,In stock,4,Medium
Done Rubbed Out (Reightman & Bailey #1),37.72,In stock,5,Medium
Doing It Over (Most Likely To #1),35.61,In stock,3,Medium
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,In stock,3,High
Dark Notes,19.19,In stock,5,Low
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.43,In stock,3,Low
Close to You,49.46,In stock,4,High
Chasing Heaven: What Dying Taught Me About Living,37.8,In stock,2,Medium
Big Magic: Creative Living Beyond Fear,30.8,In stock,3,Medium
Becoming Wise: An Inquiry into the Mystery and Art of Living,27.43,In stock,2,Medium
Beauty Restored (Riley Family Legacy Novellas #3),11.11,In stock,2,Low
Batman: The Long Halloween (Batman),36.5,In stock,2,Medium
Batman: The Dark Knight Returns (Batman),15.38,In stock,5,Low
Ayumi's Violin,15.48,In stock,2,Low
Anonymous,46.82,In stock,4,High
Amy Meets the Saints and Sages,18.46,In stock,3,Low
Amid the Chaos,36.58,In stock,1,Medium
Amatus,50.54,In stock,5,High
Agnostic: A Spirited Manifesto,12.51,In stock,5,Low
Zealot: The Life and Times of Jesus of Nazareth,24.7,In stock,3,Medium
You (You #1),43.61,In stock,5,High
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,In stock,4,Medium
Wild Swans,14.36,In stock,2,Low
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,52.65,In stock,4,High
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,38.2,In stock,4,Medium
What's It Like in Space?: Stories from Astronauts Who've Been There,19.6,In stock,2,Low
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,In stock,1,High
Walt Disney's Alice in Wonderland,12.96,In stock,5,Low
V for Vendetta (V for Vendetta Complete),37.1,In stock,4,Medium
Until Friday Night (The Field Party #1),46.31,In stock,2,High
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",45.95,In stock,2,High
Twenty Yawns,22.08,In stock,2,Medium
Through the Woods,25.38,In stock,2,Medium
This Is Where It Ends,27.12,In stock,2,Medium
The Year of Magical Thinking,43.04,In stock,2,High
The Wright Brothers,56.8,In stock,4,High
The White Queen (The Cousins' War #1),25.91,In stock,5,Medium
The Wedding Pact (The O'Malleys #2),32.61,In stock,3,Medium
The Time Keeper,27.88,In stock,5,Medium
The Testament of Mary,52.67,In stock,4,High
The Star-Touched Queen,46.02,In stock,5,High
The Songs of the Gods,44.48,In stock,5,High
The Song of Achilles,37.4,In stock,5,Medium
The Rosie Project (Don Tillman #1),54.04,In stock,1,High
The Power of Habit: Why We Do What We Do in Life and Business,16.88,In stock,3,Low
The Marriage of Opposites,28.08,In stock,4,Medium
The Lucifer Effect: Understanding How Good People Turn Evil,10.4,In stock,1,Low
The Long Haul (Diary of a Wimpy Kid #9),44.07,In stock,1,High
The Loney,23.4,In stock,1,Medium
The Literature Book (Big Ideas Simply Explained),17.43,In stock,3,Low
The Last Mile (Amos Decker #2),54.21,In stock,2,High
The Immortal Life of Henrietta Lacks,40.67,In stock,2,High
The Hidden Oracle (The Trials of Apollo #1),52.26,In stock,2,High
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,28.77,In stock,3,Medium
The Guilty (Will Robie #4),13.82,In stock,2,Low
The First Hostage (J.B. Collins #2),25.85,In stock,3,Medium
The Dovekeepers,48.78,In stock,1,High
The Darkest Lie,35.35,In stock,5,Medium
The Bane Chronicles (The Bane Chronicles #1-11),44.73,In stock,4,High
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the Worldâs Most Precious Manuscripts,15.77,In stock,1,Low
The 14th Colony (Cotton Malone #11),39.24,In stock,1,Medium
That Darkness (Gardiner and Renner #1),13.92,In stock,1,Low
Tastes Like Fear (DI Marnie Rome #3),10.69,In stock,1,Low
Take Me with You,45.21,In stock,3,High
Swell: A Year of Waves,45.58,In stock,1,High
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,In stock,5,Low
Still Life with Bread Crumbs,26.41,In stock,3,Medium
Steve Jobs,39.5,In stock,5,Medium
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,44.74,In stock,4,High
Someone Like You (The Harrisons #2),52.79,In stock,5,High
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,In stock,4,Medium
Shtum,55.84,In stock,4,High
See America: A Celebration of Our National Parks & Treasured Sites,48.87,In stock,3,High
salt.,46.78,In stock,4,High
Robin War,47.82,In stock,3,High
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,In stock,2,Medium
Rain Fish,23.57,In stock,3,Medium
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",50.89,In stock,5,High
Pet Sematary,10.56,In stock,3,Low
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",52.15,In stock,3,High
Once Was a Time,18.28,In stock,2,Low
Old School (Diary of a Wimpy Kid #10),11.83,In stock,5,Low
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,21.95,In stock,2,Medium
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,In stock,2,Medium
My Name Is Lucy Barton,41.56,In stock,1,High
My Mrs. Brown,24.48,In stock,3,Medium
My Kind of Crazy,40.36,In stock,1,High
Mr. Mercedes (Bill Hodges Trilogy #1),28.9,In stock,1,Medium
More Than Music (Chasing the Dream #1),37.61,In stock,2,Medium
Made to Stick: Why Some Ideas Survive and Others Die,38.85,In stock,5,Medium
Luis Paints the World,53.95,In stock,3,High
Luckiest Girl Alive,49.83,In stock,3,High
Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,In stock,2,High
Love Is a Mix Tape (Music #1),18.03,In stock,1,Low
Looking for Lovely: Collecting the Moments that Matter,29.14,In stock,5,Medium
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",46.91,In stock,4,High
Let It Out: A Journey Through Journaling,26.79,In stock,5,Medium
Lady Midnight (The Dark Artifices #1),16.28,In stock,5,Low
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",19.55,In stock,1,Low
Island of Dragons (Unwanteds #7),29.65,In stock,1,Medium
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,25.98,In stock,4,Medium
I Am Pilgrim (Pilgrim #1),10.6,In stock,4,Low
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",14.75,In stock,5,Low
"Hush, Hush (Hush, Hush #1)",47.02,In stock,3,High
Hold Your Breath (Search and Rescue #1),28.82,In stock,1,Medium
Hamilton: The Revolution,58.79,In stock,3,High
Greek Mythic History,10.23,In stock,5,Low
God: The Most Unpleasant Character in All Fiction,30.03,In stock,5,Medium
Glory over Everything: Beyond The Kitchen House,45.84,In stock,3,High
Feathers: Displays of Brilliant Plumage,49.05,In stock,3,High
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06,In stock,4,Low
Every Last Word,46.47,In stock,3,High
Eligible (The Austen Project #4),27.09,In stock,3,Medium
El Deafo,57.62,In stock,5,High
Eight Hundred Grapes,14.39,In stock,4,Low
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",51.75,In stock,5,High
"Eat Fat, Get Thin",54.07,In stock,2,High
Don't Get Caught,55.35,In stock,1,High
Doctor Sleep (The Shining #2),40.12,In stock,2,High
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),37.51,In stock,5,Medium
Dear Mr. Knightley,11.21,In stock,5,Low
Daily Fantasy Sports,36.58,In stock,1,Medium
Crazy Love: Overwhelmed by a Relentless God,47.72,In stock,2,High
Cometh the Hour (The Clifton Chronicles #6),25.01,In stock,3,Medium
Code Name Verity (Code Name Verity #1),22.13,In stock,4,Medium
Clockwork Angel (The Infernal Devices #1),44.14,In stock,1,High
City of Glass (The Mortal Instruments #3),56.02,In stock,4,High
City of Fallen Angels (The Mortal Instruments #4),11.23,In stock,4,Low
City of Bones (The Mortal Instruments #1),43.28,In stock,1,High
City of Ashes (The Mortal Instruments #2),47.27,In stock,1,High
Cell,20.29,In stock,4,Medium
Catching Jordan (Hundred Oaks),50.83,In stock,3,High
"Carry On, Warrior: Thoughts on Life Unarmed",31.85,In stock,3,Medium
Carrie,46.23,In stock,2,High
Buying In: The Secret Dialogue Between What We Buy and Who We Are,37.8,In stock,4,Medium
Brain on Fire: My Month of Madness,49.32,In stock,5,High
Batman: Europa,32.01,In stock,2,Medium
Barefoot Contessa Back to Basics,28.01,In stock,1,Medium
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,50.62,In stock,5,High
Balloon Animals,17.03,In stock,3,Low
Art Ops Vol. 1,48.8,In stock,3,High
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),58.14,In stock,4,High
Angels Walking (Angels Walking #1),34.2,In stock,2,Medium
Angels & Demons (Robert Langdon #1),51.48,In stock,3,High
All the Light We Cannot See,29.87,In stock,5,Medium
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,In stock,2,Low
Abstract City,56.37,In stock,5,High
A Time of Torment (Charlie Parker #14),48.35,In stock,5,High
A Study in Scarlet (Sherlock Holmes #1),16.73,In stock,2,Low
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",56.48,In stock,2,High
A People's History of the United States,40.79,In stock,2,High
A Man Called Ove,39.72,In stock,1,Medium
A Distant Mirror: The Calamitous 14th Century,14.58,In stock,3,Low
A Brush of Wings (Angels Walking #3),55.51,In stock,1,High
1491: New Revelations of the Americas Before Columbus,21.8,In stock,3,Medium
"The Three Searches, Meaning, and the Story",13.33,In stock,3,Low
Searching for Meaning in Gailana,38.73,In stock,1,Medium
Rook,37.86,In stock,4,Medium
My Kitchen Year: 136 Recipes That Saved My Life,11.53,In stock,2,Low
13 Hours: The Inside Account of What Really Happened In Benghazi,27.06,In stock,1,Medium
Will You Won't You Want Me?,13.86,In stock,3,Low
Tipping Point for Planet Earth: How Close Are We to the Edge?,37.55,In stock,1,Medium
The Star-Touched Queen,32.3,In stock,5,Medium
The Silent Sister (Riley MacPherson #1),46.29,In stock,5,High
The Midnight Watch: A Novel of the Titanic and the Californian,26.2,In stock,1,Medium
The Lonely City: Adventures in the Art of Being Alone,33.26,In stock,2,Medium
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,59.15,In stock,4,High
The Golden Condom: And Other Essays on Love Lost and Found,39.43,In stock,1,Medium
The Epidemic (The Program 0.6),14.44,In stock,5,Low
The Dinner Party,56.54,In stock,2,High
The Diary of a Young Girl,59.9,In stock,3,High
The Children,11.88,In stock,3,Low
Stars Above (The Lunar Chronicles #4.5),48.05,In stock,2,High
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,21.21,In stock,3,Medium
Raspberry Pi Electronics Projects for the Evil Genius,49.67,In stock,4,High
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,43.14,In stock,1,High
Psycho: Sanitarium (Psycho #1.5),36.97,In stock,5,Medium
Poisonous (Max Revere Novels #3),26.8,In stock,3,Medium
One with You (Crossfire #5),15.71,In stock,4,Low
No Love Allowed (Dodge Cove #1),54.65,In stock,4,High
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,In stock,4,High
Most Wanted,35.28,In stock,3,Medium
"Love, Lies and Spies",20.55,In stock,2,Medium
How to Speak Golf: An Illustrated Guide to Links Lingo,58.32,In stock,5,High
Hide Away (Eve Duncan #20),11.84,In stock,1,Low
Furiously Happy: A Funny Book About Horrible Things,41.46,In stock,4,High
Everyday Italian: 125 Simple and Delicious Recipes,20.1,In stock,5,Medium
Equal Is Unfair: America's Misguided Fight Against Income Inequality,56.86,In stock,1,High
Eleanor & Park,56.51,In stock,5,High
Dirty (Dive Bar #1),40.83,In stock,4,High
Can You Keep a Secret? (Fear Street Relaunch #4),48.64,In stock,1,High
Boar Island (Anna Pigeon #19),59.48,In stock,3,High
A Paris Apartment,39.01,In stock,4,Medium
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",38.77,In stock,1,Medium
Troublemaker: Surviving Hollywood and Scientology,48.39,In stock,2,High
The Widow,27.26,In stock,2,Medium
"The Sleep Revolution: Transforming Your Life, One Night at a Time",11.68,In stock,4,Low
The Improbability of Love,59.45,In stock,1,High
The Art of Startup Fundraising,21.0,In stock,3,Medium
Take Me Home Tonight (Rock Star Romance #3),53.98,In stock,3,High
Sleeping Giants (Themis Files #1),48.74,In stock,1,High
"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",21.15,In stock,2,Medium
Playing with Fire,13.71,In stock,3,Low
Off the Hook (Fishing for Trouble #1),47.67,In stock,3,High
Mothering Sunday,13.34,In stock,2,Low
"Mother, Can You Not?",16.89,In stock,5,Low
M Train,27.18,In stock,1,Medium
Lilac Girls,17.28,In stock,2,Low
Lies and Other Acts of Love,45.14,In stock,1,High
Lab Girl,40.85,In stock,1,High
Keep Me Posted,20.46,In stock,4,Medium
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,56.27,In stock,3,High
Grey (Fifty Shades #4),48.49,In stock,4,High
"Exit, Pursued by a Bear",51.34,In stock,4,High
Daredevils,16.34,In stock,3,Low
Cravings: Recipes for What You Want to Eat,20.5,In stock,3,Medium
Born for This: How to Find the Work You Were Meant to Do,21.59,In stock,5,Medium
Arena,21.36,In stock,4,Medium
Adultery,20.88,In stock,5,Medium
A Mother's Reckoning: Living in the Aftermath of Tragedy,19.53,In stock,3,Low
A Gentleman's Position (Society of Gentlemen #3),14.75,In stock,5,Low
11/22/63,48.48,In stock,3,High
